name,electricity,transport
2013-01-01 00:00:00,29178.964795386666,3068.989806821342
2013-01-01 03:00:00,24164.556494686134,7567.154209056248
2013-01-01 06:00:00,23838.965675016567,25537.02671328644
2013-01-01 09:00:00,31353.443264138477,23539.140597876012
2013-01-01 12:00:00,33729.26329351764,24715.31148369837
2013-01-01 15:00:00,38416.68533040127,29872.27431329028
2013-01-01 18:00:00,37762.10598266916,19407.756758991964
2013-01-01 21:00:00,34904.31722375045,7733.916330741896
2013-01-02 00:00:00,29437.14568558871,3065.497530941766
2013-01-02 03:00:00,30532.723931507182,7533.5926246471145
2013-01-02 06:00:00,42007.609101585804,25795.57250816409
2013-01-02 09:00:00,47446.77992552014,24365.37191379244
2013-01-02 12:00:00,47607.304141598,26065.43759880669
2013-01-02 15:00:00,50202.955759501994,31130.727132700464
2013-01-02 18:00:00,45904.74430249861,20624.238693460182
2013-01-02 21:00:00,39637.71325953206,8428.269725948474
2013-01-03 00:00:00,33760.0141779032,3261.887914730747
